name,oldest,refs,ts_count,youngest
Alakul Limestone,Darriwilian,"2, 3, 12, 259",0.0,Darriwilian
Alakol,Darriwilian,"2, 3, 12, 133, 259",0.0,Darriwilian
Guragir,Dapingian,"2, 3, 12, 34, 335",1.0,Darriwilian
Gigas Limestone,Darriwilian,"2, 3, 11, 12, 36",0.0,Darriwilian
Vaginatum Limestone,Darriwilian,"2, 3, 11, 12, 36",0.0,Darriwilian
Napa,Darriwilian,"2, 3, 8, 12",1.0,Sandbian
Ubari,Darriwilian,"2, 3, 8, 12",1.0,Sandbian
Valgejoe,Darriwilian,"2, 3, 8, 12",1.0,Sandbian
Weemalla,Darriwilian,"2, 3, 12, 132",0.0,Darriwilian
Krivolukian,Darriwilian,"2, 3, 12, 335",0.0,Darriwilian
Krivolutsk,Darriwilian,"2, 3, 12, 289, 335",0.0,Darriwilian
Baykit,Dapingian,"2, 3, 12, 34",1.0,Darriwilian
Baikit,Dapingian,"2, 3, 12, 27, 399",1.0,Darriwilian
Kotchakan Upper,Dapingian,"2, 3, 12, 27",1.0,Darriwilian
Kuntykakhin,Dapingian,"2, 3, 12, 399",1.0,Darriwilian
Sytykan,Darriwilian,"2, 3, 12, 335, 399",0.0,Darriwilian
Tareev,Darriwilian,"2, 3, 12, 399",0.0,Darriwilian
Karakan,Darriwilian,"2, 3, 12, 258",0.0,Darriwilian
Krivaya Luka,Darriwilian,"2, 3, 12, 399",0.0,Darriwilian
Malykaya,Dapingian,"2, 3, 12, 27",1.0,Darriwilian
Andotchin,Darriwilian,"2, 3, 12, 399",0.0,Darriwilian
Obtusicauda Limestone,Darriwilian,"2, 3, 11, 12, 36",0.0,Darriwilian
Mozart Chert,Darriwilian,"2, 3, 12, 202",0.0,Darriwilian
Whinfell Chert,Darriwilian,"2, 3, 12, 202",0.0,Darriwilian
Standard Hill,Darriwilian,"2, 3, 12, 204",0.0,Darriwilian
Capillas,Darriwilian,"2, 3, 12, 272",0.0,Darriwilian
BC3,Darriwilian,"2, 3, 9, 12",0.0,Darriwilian
Kirenskian,Darriwilian,"2, 3, 12, 335",0.0,Darriwilian
Kudrinan,Darriwilian,"2, 3, 12, 335",0.0,Darriwilian
Antcherikov,Darriwilian,"2, 3, 12, 399",0.0,Darriwilian
Osek-Kván,Darriwilian,"2, 3, 12, 321",1.0,Sandbian
Rokycany Shale,Darriwilian,"2, 3, 12, 321",1.0,Sandbian
Armoricochitina armoricana / Cyathochitina jenkinsi,Darriwilian,"2, 3, 12, 400",0.0,Darriwilian
Didymograptus callotheca,Darriwilian,"2, 3, 12",0.0,Darriwilian
Didymograptus murchisoni,Darriwilian,"2, 3, 12",0.0,Darriwilian
Nicholsonograptus fasciculatus,Darriwilian,"2, 3, 12, 53",0.0,Darriwilian
Phragmodus polonicus,Darriwilian,"2, 3, 12, 50",0.0,Darriwilian
Pseudoclimacograptus decoratus,Darriwilian,"2, 3, 12, 53",0.0,Darriwilian
Oretanian,Darriwilian,"2, 3, 12, 271",0.0,Darriwilian
Abereiddian,Darriwilian,"2, 3, 12",0.0,Darriwilian
Llanvirn,Darriwilian,"2, 3, 12",0.0,Darriwilian
Dashaba,Darriwilian,"2, 3, 12, 367",1.0,Sandbian
Shihtzupu,Darriwilian,"2, 3, 12, 54, 367",0.0,Darriwilian
Microzarkodina hagetiana,Darriwilian,"2, 3, 12, 16",0.0,Darriwilian
Pseudamplexograptus distichus,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Didymograptus murchisoni/ Didymograptus geminus,Darriwilian,"2, 3, 12, 400",0.0,Darriwilian
Asaphus platyurus,Darriwilian,"2, 3, 12, 16",0.0,Darriwilian
Didymograptus clavulus,Darriwilian,"2, 3, 12, 16, 346",1.0,Sandbian
Pygodus lunnensis,Darriwilian,"2, 3, 12, 16",0.0,Darriwilian
Cacemia ribeiroi,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Eodalmanitina destombesi nava,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Placoparia (Coplacoparia) tournemini,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Armoricochitina armoricana,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Eodalmanitina macrophtalma,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Heterorthina morgatensis,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Cardiodella lyrata -Polyplacognathus angarense,Darriwilian,"2, 3, 12, 27",0.0,Darriwilian
Expansograptus jakovlevi / Amplexograptus coelatus,Darriwilian,"2, 3, 12, 346",0.0,Darriwilian
Microzarkodina ozarkodella,Darriwilian,"2, 3, 12, 16",0.0,Darriwilian
Phragmodus borealis,Darriwilian,"2, 3, 12, 346",0.0,Darriwilian
Cherskiella notanilis-Ventrigyrus intricatus,Darriwilian,"2, 3, 12, 346, 399",0.0,Darriwilian
Leontiella gloriosa,Dapingian,"2, 3, 12, 399",1.0,Darriwilian
Leoniella,Darriwilian,"2, 3, 12, 346",0.0,Darriwilian
Megistaspis gigas,Darriwilian,"2, 3, 12, 16",0.0,Darriwilian
Megistaspis obtusicauda,Darriwilian,"2, 3, 12, 16",0.0,Darriwilian
Tachilla,Darriwilian,"2, 3, 12, 249",0.0,Darriwilian
Mukteian,Darriwilian,"2, 3, 12, 27",0.0,Darriwilian
Bugryshikha,Darriwilian,"2, 3, 12, 281, 346",1.0,Sandbian
Hanadir,Darriwilian,"2, 3, 12, 249",0.0,Darriwilian
Snowtown,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Aber Mawr Shales,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Corn Hill,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Crystal Tuff Lower,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Fishguard Volcanic,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Llyn y Gafr Volcanic,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
White Island Bridge,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Elnes,Darriwilian,"2, 3, 12, 17, 28",0.0,Darriwilian
Duboviki,Darriwilian,"2, 3, 12, 350",0.0,Darriwilian
Vämb,Darriwilian,"2, 3, 9, 12",0.0,Darriwilian
Vikarbyn Limestone,Darriwilian,"2, 3, 11, 12",0.0,Darriwilian
Estancia San Isidro,Darriwilian,"2, 3, 12, 299",0.0,Darriwilian
Heggen,Darriwilian,"2, 3, 12, 29",0.0,Darriwilian
Wells,Darriwilian,"2, 3, 12, 50",0.0,Darriwilian
MDICE,Darriwilian,"2, 3, 12, 17, 21",0.0,Darriwilian
Cape Cormorant,Darriwilian,"2, 3, 12, 104",0.0,Darriwilian
Formation D,Darriwilian,"2, 3, 12, 36",0.0,Darriwilian
Alpartir,Darriwilian,"2, 3, 12, 310",0.0,Darriwilian
Marité,Darriwilian,"2, 3, 12, 310",0.0,Darriwilian
Weston,Darriwilian,"2, 3, 12, 376",0.0,Darriwilian
Moitiers d'Allonne,Darriwilian,"2, 3, 12, 337",0.0,Darriwilian
Asaphus Ash,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Didymograptus murchisoni Shales,Darriwilian,"2, 3, 12, 240",0.0,Darriwilian
Llandeilo Flags,Darriwilian,"2, 3, 12, 240",0.0,Darriwilian
Llyn-y-Gafr spilitic,Darriwilian,"2, 3, 12, 240",0.0,Darriwilian
Abereiddi Tuff,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Auchensoul Limestone,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Betton Shale,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Bryanstown,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Bunmahon,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Caerhys Shale,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Cyffredin Shale,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Dunabrattin Shale,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Glendavock,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Lan Flags,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Minuntian,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Uggool,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Weston Flags,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Antelope Valley Limestone Rhysostrophia,Darriwilian,"2, 3, 12, 160",0.0,Darriwilian
Engervik,Darriwilian,"2, 3, 12, 29, 104",0.0,Darriwilian
Foum Ez Zeidiya,Darriwilian,"2, 3, 12, 238",0.0,Darriwilian
Klimoli Lower,Darriwilian,"2, 3, 12, 55",0.0,Darriwilian
American Tickle,Darriwilian,"2, 3, 12, 104",0.0,Darriwilian
Black Cove,Darriwilian,"2, 3, 12, 104",0.0,Darriwilian
New Market Limestone,Darriwilian,"2, 3, 12, 114",0.0,Darriwilian
Pena Blanca Quartzite,Darriwilian,"2, 3, 12, 114",0.0,Darriwilian
Darriwilian 3,Darriwilian,"2, 3, 12",0.0,Darriwilian
Pizarras de Navas de Estena,Darriwilian,"2, 3, 12, 366",0.0,Darriwilian
Slane,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Abereiddian Upper,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Llanvirnian,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Mid Darriwilian isotope carbon excursion,Darriwilian,"2, 3, 9, 12",0.0,Darriwilian
BC2,Darriwilian,"2, 3, 9, 12",0.0,Darriwilian
Hyssington Volcanic,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Stapeley Volcanic,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Cephalopod Shale,Darriwilian,"2, 3, 12, 29",2.0,Katian
Ogygiocaris Shale,Darriwilian,"2, 3, 12, 29",0.0,Darriwilian
Upper Didymograptus Shale,Darriwilian,"2, 3, 12, 29",0.0,Darriwilian
Etasje 4aα,Darriwilian,"2, 3, 12, 28",1.0,Sandbian
Igzert,Darriwilian,"2, 3, 12, 304",0.0,Darriwilian
Oininirhene,Darriwilian,"2, 3, 12, 304",0.0,Darriwilian
Ballanayre Slump-Breccia,Darriwilian,"2, 3, 12, 124",1.0,Sandbian
Bod Deiniol,Darriwilian,"2, 3, 12, 124",1.0,Sandbian
Bryn Celyn Ironstone,Darriwilian,"2, 3, 12, 124",1.0,Sandbian
Builth Volcanic,Darriwilian,"2, 3, 12, 124",1.0,Sandbian
Cwm Amliw Tuff,Darriwilian,"2, 3, 12, 124",1.0,Sandbian
Ffairfach,Darriwilian,"2, 3, 12, 124",1.0,Sandbian
Glanmorfa Shale,Darriwilian,"2, 3, 12, 124",1.0,Sandbian
Newmead,Darriwilian,"2, 3, 12, 124",1.0,Sandbian
Rhiw Bach Volcanic,Darriwilian,"2, 3, 12, 124",1.0,Sandbian
Sulby Flags,Darriwilian,"2, 3, 12, 124",1.0,Sandbian
Caubon,Darriwilian,"2, 3, 12, 282",1.0,Sandbian
Caudecoste,Darriwilian,"2, 3, 12, 282",1.0,Sandbian
Rio Shales,Darriwilian,"2, 3, 12, 282",1.0,Sandbian
Villaflor,Darriwilian,"2, 3, 12, 280",1.0,Sandbian
Xistenta,Darriwilian,"2, 3, 12, 280",1.0,Sandbian
Pizarras del Rio,Darriwilian,"2, 3, 12, 282",1.0,Sandbian
Archiclimacograptus riddellensis,Darriwilian,"2, 3, 12, 53",0.0,Darriwilian
Cahabagnathus friendsvillensis,Darriwilian,"2, 3, 12, 50",0.0,Darriwilian
Conochitina clavaherculi,Darriwilian,"2, 3, 12",0.0,Darriwilian
Conochitina tuberculata,Darriwilian,"2, 3, 8, 12",1.0,Sandbian
Cyathochitina jenkinsi,Darriwilian,"2, 3, 12",0.0,Darriwilian
Cyathochitina sebyensis,Darriwilian,"2, 3, 12, 14",1.0,Sandbian
Didymograptus jiangxiensis,Darriwilian,"2, 3, 12",0.0,Darriwilian
Hustedograptus teretiusculus,Darriwilian,"2, 3, 12, 329",0.0,Darriwilian
Laufeldochitina clavata,Darriwilian,"2, 3, 12, 400",0.0,Darriwilian
Linochitina pissotensis,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Pterograptus elegans,Darriwilian,"2, 3, 12",0.0,Darriwilian
Pygodus serra,Darriwilian,"2, 3, 9, 12",0.0,Darriwilian
Sagittodontina kielcensis,Darriwilian,"2, 3, 12",0.0,Darriwilian
Aseri,Darriwilian,"2, 3, 9, 12",0.0,Darriwilian
Lasnamägi,Darriwilian,"2, 3, 9, 12",0.0,Darriwilian
Uhaku,Darriwilian,"2, 3, 9, 12, 17",0.0,Darriwilian
Folkeslunda,Darriwilian,"2, 3, 9, 11, 12",0.0,Darriwilian
Lindegård Mudstone,Darriwilian,"2, 3, 9, 11, 12, 17",0.0,Darriwilian
Seby,Darriwilian,"2, 3, 9, 11, 12",0.0,Darriwilian
Segerstad Limestone,Darriwilian,"2, 3, 9, 11, 12, 33",0.0,Darriwilian
Skärlöv,Darriwilian,"2, 3, 9, 11, 12",0.0,Darriwilian
Tier d'Olne,Darriwilian,"2, 3, 12, 129",1.0,Sandbian
Llandeilian,Darriwilian,"2, 3, 12",0.0,Darriwilian
Datianba,Darriwilian,"2, 3, 12, 21, 367",1.0,Sandbian
Miaopo,Darriwilian,"2, 3, 12, 64, 367",1.0,Sandbian
Conochitina parvicolla,Darriwilian,"2, 3, 12, 346",0.0,Darriwilian
Gymnograptus linnarssoni,Darriwilian,"2, 3, 12, 53, 321",0.0,Darriwilian
Phragmodus flexuosus,Darriwilian,"2, 3, 12, 27",0.0,Darriwilian
Baltoplacognathus reclinatus,Darriwilian,"2, 3, 12, 51",0.0,Darriwilian
Baltoplacognathus robustus,Darriwilian,"2, 3, 12, 51",0.0,Darriwilian
Yangtzeplacognathus protoramosus,Darriwilian,"2, 3, 12, 14",0.0,Darriwilian
Eoplacognathus lindstroemi,Darriwilian,"2, 3, 12, 51",0.0,Darriwilian
Crozonorthis musculosa,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Heterorthina kerfornei,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Morgatia hupei,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Morgatia primitiva,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Placoparia borni,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Ptiloconus anomalis,Darriwilian,"2, 3, 12, 27",0.0,Darriwilian
Yangtzeplacognathus foliaceus,Darriwilian,"2, 3, 12, 14",0.0,Darriwilian
Neseuretus tristani,Darriwilian,"2, 3, 12, 387",0.0,Darriwilian
Zeliszkella toledana,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Evenkina lenaica/ Evenkina anabarensis,Darriwilian,"2, 3, 12, 399",0.0,Darriwilian
Homotellus lenaensis,Darriwilian,"2, 3, 12, 399",0.0,Darriwilian
Soanella maslovi,Darriwilian,"2, 3, 12, 399",0.0,Darriwilian
Homotellus,Darriwilian,"2, 3, 12, 346",0.0,Darriwilian
Ortograptus propinquus,Darriwilian,"2, 3, 12, 399",0.0,Darriwilian
Eoplacognathus reclinatus,Darriwilian,"2, 3, 12, 188",0.0,Darriwilian
Eoplacognathus robustus,Darriwilian,"2, 3, 12, 188",0.0,Darriwilian
Lenatoechia lenaensis,Darriwilian,"2, 3, 12, 399",0.0,Darriwilian
Quadrilobella recta,Darriwilian,"2, 3, 12, 399",0.0,Darriwilian
Mastigograptus datzenkoi,Darriwilian,"2, 3, 12, 399",0.0,Darriwilian
Kandle,Darriwilian,"2, 3, 8, 9, 12",0.0,Darriwilian
Dw3,Darriwilian,"2, 3, 12, 13",0.0,Darriwilian
Sjøstrand,Darriwilian,"2, 3, 12, 104",0.0,Darriwilian
McLish,Darriwilian,"2, 3, 12, 88",0.0,Darriwilian
Oretanian Upper,Darriwilian,"2, 3, 12, 318, 321",0.0,Darriwilian
Wulalike,Darriwilian,"2, 3, 12, 372",0.0,Darriwilian
Row Park,Darriwilian,"2, 3, 12, 50",0.0,Darriwilian
Crystal Peak,Darriwilian,"2, 3, 12, 39, 114",0.0,Darriwilian
Lower Dobrotivian,Darriwilian,"2, 3, 12, 318, 321",0.0,Darriwilian
Darriwilian 4,Darriwilian,"2, 3, 12",0.0,Darriwilian
Blackford,Darriwilian,"2, 3, 12, 114",0.0,Darriwilian
Day Point,Darriwilian,"2, 3, 12, 39",0.0,Darriwilian
Väo,Darriwilian,"2, 3, 9, 12, 21",0.0,Darriwilian
Killeröd,Darriwilian,"2, 3, 12, 37",1.0,Sandbian
Ojaküla,Darriwilian,"2, 3, 8, 12",1.0,Sandbian
Rokiskis,Darriwilian,"2, 3, 8, 12",1.0,Sandbian
Guindo Shales,Darriwilian,"2, 3, 12, 313",0.0,Darriwilian
Meadowtown,Darriwilian,"2, 3, 12, 92",0.0,Darriwilian
Bellewstown,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Castell Limestone,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Coronea,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Noblehouse Lava,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Red Island,Darriwilian,"2, 3, 12, 124",0.0,Darriwilian
Kirensko-Kudrinian,Darriwilian,"2, 3, 12, 27",0.0,Darriwilian
Volginian,Darriwilian,"2, 3, 12, 399",0.0,Darriwilian
Antelope Valley Limestone Leptellina,Darriwilian,"2, 3, 12, 160",0.0,Darriwilian
Antelope Valley Limestone Sowerbyella,Darriwilian,"2, 3, 12, 160",0.0,Darriwilian
Kerarvail,Darriwilian,"2, 3, 12, 238",0.0,Darriwilian
First Bani,Darriwilian,"2, 3, 12, 249",0.0,Darriwilian
Bou-Zeroual,Darriwilian,"2, 3, 12, 238",0.0,Darriwilian
Guezzart,Darriwilian,"2, 3, 12, 238",0.0,Darriwilian
Morgat,Darriwilian,"2, 3, 12, 238",0.0,Darriwilian
Ouine-Inirne,Darriwilian,"2, 3, 12, 238",0.0,Darriwilian
Taddrist,Darriwilian,"2, 3, 12, 238",0.0,Darriwilian
Gap Creek,Darriwilian,"2, 3, 12, 71",0.0,Darriwilian
Kirenskian-Kudrinian,Darriwilian,"2, 3, 12, 399",0.0,Darriwilian
Anrakhai,Darriwilian,"2, 3, 12, 345",0.0,Darriwilian
Fetzer,Darriwilian,"2, 3, 12, 65",0.0,Darriwilian
Whitesburg,Darriwilian,"2, 3, 12, 65",0.0,Darriwilian
Laval Lower,Darriwilian,"2, 3, 12, 51",0.0,Darriwilian
Pratt Ferry,Darriwilian,"2, 3, 12, 44",0.0,Darriwilian
Ballast Chert,Darriwilian,"2, 3, 12, 132",0.0,Darriwilian
Billabong Creek Limestone,Darriwilian,"2, 3, 12, 132",0.0,Darriwilian
Narooma Chert,Darriwilian,"2, 3, 12, 132",0.0,Darriwilian
Nattery Chert,Darriwilian,"2, 3, 12, 132",0.0,Darriwilian
Wahringa Limestone,Darriwilian,"2, 3, 12, 132",0.0,Darriwilian
Watonga,Darriwilian,"2, 3, 12, 132",0.0,Darriwilian
Klimoli Upper,Darriwilian,"2, 3, 12, 55",0.0,Darriwilian
Volgin,Darriwilian,"2, 3, 12, 346",0.0,Darriwilian
Valim,Darriwilian,"2, 3, 12, 350",0.0,Darriwilian
Skövde,Darriwilian,"2, 3, 9, 12, 21",0.0,Darriwilian
Källa Limestone,Darriwilian,"2, 3, 12, 343",0.0,Darriwilian
Gullhögen,Darriwilian,"2, 3, 9, 12",0.0,Darriwilian
Pizzaras Guindo,Darriwilian,"2, 3, 12, 366",0.0,Darriwilian
Pizarras de Navalaceite,Darriwilian,"2, 3, 12, 366",0.0,Darriwilian
Pizarras de Valmosillo,Darriwilian,"2, 3, 12, 366",0.0,Darriwilian
Porogi,Darriwilian,"2, 3, 12, 350",0.0,Darriwilian
Malla,Darriwilian,"2, 3, 8, 12",1.0,Sandbian
Guido Shales,Darriwilian,"2, 3, 12, 282",0.0,Darriwilian
Angir,Darriwilian,"2, 3, 12, 335, 399",0.0,Darriwilian
Platyurus Limestone,Dapingian,"2, 3, 11, 12, 36",1.0,Darriwilian
Monte da Sombadeira,Darriwilian,"2, 3, 12, 300",1.0,Sandbian
Pärsnäs Limestone,Darriwilian,"2, 3, 12, 36",0.0,Darriwilian
Mednikovo,Darriwilian,"2, 3, 12, 243",0.0,Darriwilian
Vel'cy,Darriwilian,"2, 3, 12, 243",0.0,Darriwilian
Llandeilo Flags Lower,Darriwilian,"2, 3, 12, 124",1.0,Sandbian
Avensac,Darriwilian,"2, 3, 12, 282",1.0,Sandbian
Cabril,Darriwilian,"2, 3, 12, 300",1.0,Sandbian
Fonte da Horta,Darriwilian,"2, 3, 12, 282, 300",1.0,Sandbian
Chase Lake,Darriwilian,"2, 3, 12, 175",1.0,Sandbian
Cyathochitina regnelli,Darriwilian,"2, 3, 9, 12",0.0,Darriwilian
Eoplacognathus variabilis,Darriwilian,"2, 3, 12",0.0,Darriwilian
Histiodella holodentata,Darriwilian,"2, 3, 12, 84",0.0,Darriwilian
Hyalochitina protocalix,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Levisograptus dentatus,Darriwilian,"2, 3, 12, 16",0.0,Darriwilian
Undulograptus intersitus,Darriwilian,"2, 3, 12",0.0,Darriwilian
Lenodus variabilis,Darriwilian,"2, 3, 9, 12, 84",0.0,Darriwilian
Kunda,Darriwilian,"2, 3, 9, 12",0.0,Darriwilian
Valaste,Darriwilian,"2, 3, 12",0.0,Darriwilian
Holen Limestone,Darriwilian,"2, 3, 9, 11, 12, 33",0.0,Darriwilian
Lehman,Darriwilian,"2, 3, 12, 84",0.0,Darriwilian
Corymbograptus retroflexus,Dapingian,"2, 3, 12, 321",1.0,Darriwilian
Asaphus expansus,Darriwilian,"2, 3, 12, 16",0.0,Darriwilian
Cyathochitina calyx - protocalix,Darriwilian,"2, 3, 12, 400",0.0,Darriwilian
Yangtzeplacognathus crassus,Darriwilian,"2, 3, 9, 12",0.0,Darriwilian
Expansograptus balhaschensis/ Expansograptus kirgisicus,Darriwilian,"2, 3, 12, 329, 400",0.0,Darriwilian
Undulograptus dentatus,Darriwilian,"2, 3, 12, 329, 400",0.0,Darriwilian
Didymograptus spinulosus,Dapingian,"2, 3, 12, 321",1.0,Darriwilian
Sivorthis noctilio,Darriwilian,"2, 3, 12, 321",0.0,Darriwilian
Asaphus raniceps,Darriwilian,"2, 3, 12, 16",0.0,Darriwilian
Expansograptus kirgisicus,Darriwilian,"2, 3, 12, 346",0.0,Darriwilian
Phragmodus primus,Darriwilian,"2, 3, 12, 346",0.0,Darriwilian
Amorphognathus variabilis,Darriwilian,"2, 3, 12, 372",0.0,Darriwilian
Yijianfang,Darriwilian,"2, 3, 12, 57",0.0,Darriwilian
Argiles d'Azzel,Dapingian,"2, 3, 12, 249",1.0,Darriwilian
Gualcamayo,Darriwilian,"2, 3, 12, 93, 100",0.0,Darriwilian
Huk,Dapingian,"2, 3, 12, 28, 29",1.0,Darriwilian
Sakyna,Darriwilian,"2, 3, 9, 12, 21",0.0,Darriwilian
Oil Creek,Darriwilian,"2, 3, 12, 113",0.0,Darriwilian
Baldone,Darriwilian,"2, 3, 9, 12",0.0,Darriwilian
Loobu,Darriwilian,"2, 3, 9, 12",0.0,Darriwilian
Vihorevian,Darriwilian,"2, 3, 12, 107",0.0,Darriwilian
Kostinsky,Darriwilian,"2, 3, 12, 281",0.0,Darriwilian
Green Sandstone,Darriwilian,"2, 3, 12, 42",0.0,Darriwilian
Ship Point Member C,Darriwilian,"2, 3, 12, 42",0.0,Darriwilian
Burgen,Darriwilian,"2, 3, 12, 88",0.0,Darriwilian
Jasper,Darriwilian,"2, 3, 12, 88",0.0,Darriwilian
Sandaokan,Floian,"2, 3, 12, 250, 380",2.0,Darriwilian
Zhuozishan,Darriwilian,"2, 3, 12, 55, 380",0.0,Darriwilian
Table Point,Darriwilian,"2, 3, 4, 12, 104",0.0,Darriwilian
Beianzhuang,Darriwilian,"2, 3, 12, 381",0.0,Darriwilian
Goldwyer,Darriwilian,"2, 3, 12, 220",0.0,Darriwilian
Nora,Darriwilian,"2, 3, 12, 220",0.0,Darriwilian
Stairway Sandstone,Darriwilian,"2, 3, 12, 215",0.0,Darriwilian
